feature_name,variance,target_linear_correlation,feature_importances
AC_V_GAIN_AFE_CRP_5_8_8 of 1103959_69_1133592_RPP,0.000530978,0.028238654,0.001592602
SensorOffset CP1p5,0.003621229,0.044275932,0.001590636
AC_V_AFE_CN_TGT_I0 of 1103959_69_1133529_cp1p5,0.002244318,0.017750457,0.001585729
Zb_V_OBVOL_H of 1103959_69_1133529_cp1p5,0.000548191,0.001159267,0.001584051
Dr_V_VR1V2DRA_OUT_DIG of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,7.05E-05,0.034198298,0.001572336
HH_CONT_CL of 1103959_69_1133592_QPP,0.000439985,0.033834868,0.001559243
HH_CONT_VSS_APMU of 1103959_69_1133592_QPP,0.000474402,0.065202212,0.001557184
KK_LK_OUT_HI of 1103959_69_1133592_QPP,19.84064746,0.021523049,0.001550475
EEPROM_SET_BK8_B__,0.588970136,0.058339384,0.001540421
SensorOffserLRdiff CP1,0.002361493,0.022530315,0.001534759
Gb_I_GBIAS_0_LV of 1103959_69_1133529_cp1p5,0.08833132,0.026163184,0.001526104
AC_V_GAIN_AFE_CRN_5_8_8_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.008470972,0.094818461,0.001523467
KK_LK_OUT_HI of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,36996.24286,0.002070891,0.00151748
SensorOffsetLRdiff RPP,0.000650385,0.021027342,0.001511975
AC_VOFF_TGT_PRE_TM of 1103959_69_JPP,2.37E-06,0.020167835,0.001501703
Zb_V_OBVOL_L_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.000766343,0.038376934,0.001496612
AC_VOFF_TGT_PRE_TM of 1103959_69_1133529_cp1,2.11E-06,0.067955183,0.001492203
AC_V_GAIN_AFE_CLN_5_8_8 of 1103959_69_1133529_cp1,0.004139276,0.093646131,0.001483214
AC_V_AFE_CLN_5_8_8_I0 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000822755,0.014300009,0.001480541
Gb_I_GBIAS_0_LV of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.002228575,0.085607193,0.001473376
TR_TEMP_REG42 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,92.62298281,0.023907375,0.001471763
AC_V_GAIN_AFE_CRN_5_8_8_RAW of 1103959_69_JPP,0.00170517,0.081421897,0.001462089
EEPROM_SET_V2__,78.36698023,0.005291162,0.001445429
AC_VOUTB0_PRE of 1103959_69_1133529_cp1p5,229.9604287,0.017653852,0.001443751
OV_V_OBVOFF of 1103959_69_1133529_cp1_cp1p5_YPP,0.000659807,0.019778011,0.001439507
AG_V_SELF_TEST_GAIN_5_8_1 of 1103959_69_1133529_cp1p5,0.000809348,0.100440755,0.001436178
EEPROM_S0__,592.5197993,0.019696013,0.001433056
Zb_V_OBVOL of 1103959_69_1133529_cp1_cp1p5_YPP,0.001441993,0.034763197,0.001427266
Zb_V_OBVOH_L_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000301224,0.032666677,0.001424549
AC_OFFCALRES_PRE of 1103959_69_1133529_cp1,0.343602087,0.021430213,0.001405428
AG_V_SELF_TEST_GAIN_5_8_1_RAW of 1103959_69_JPP,0.000924545,0.108928096,0.001395877
HH_CONT_SH_CL of 1103959_69_JPP,5.46E-06,0.092626891,0.001379844
HH_CONT_SH_VINT of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.007009115,0.039300568,0.001372298
HH_CONT_CL_APMU of 1103959_69_1133529_cp1,0.002042182,0.027780609,0.001368701
Zb_V_OBVOH_L_RAW of 1103959_69_1133592_QPP,0.000465052,0.031437789,0.001363333
AC_SENSE_CLP of 1103959_69_1133592_RPP,1.84E-05,0.078222505,0.001360715
HH_CONT_CR_APMU of 1103959_69_1133592_QPP,0.001876558,0.000294076,0.001359783
Po_T_PTATOSC_HV of 1103959_69_1133529_cp1,631.6200288,0.036369556,0.001358382
HH_CONT_SH_VINT of 1103959_69_1133529_cp1,0.002947138,0.072258554,0.001354896
AG_V_SELF_TEST_GAIN_7_4_1_RAW of 1103959_69_1133592_QPP,0.000560179,0.093567431,0.001347779
Zb_V_OBVOH_L_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.00021311,0.031162216,0.001345505
Dt_V_VR1V2DRA_M_OUT of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,4.52E-05,0.020422645,0.001336411
Df_V_VR1V2D_OUT_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.000158896,0.050170428,0.001334449
AG_V_SELF_TEST_GAIN_5_8_1_RAW of 1103959_69_1133529_cp1p5,0.0006505,0.093298607,0.001328729
